,params,mle,N,p_transition,offset,kappa
115,3.8_14.0_0.8_2.2_10.0,-13678.883192307692,3.8,0.8,14.0,2.2
116,3.2_14.5_1.1_2.9_10.0,-13734.921980769232,3.2,1.1,14.5,2.9
117,4.4_12.5_0.6_2.0_10.0,-13688.476999999997,4.4,0.6,12.5,2.0
118,4.6_15.5_1.3_2.9_10.0,-13714.57653846154,4.6,1.3,15.5,2.9
119,3.0_14.5_0.9_2.9_10.0,-13734.542923076924,3.0,0.9,14.5,2.9
120,3.0_15.5_0.6_1.6_10.0,-13779.496153846154,3.0,0.6,15.5,1.6
121,3.8_11.0_0.6_2.6_10.0,-13683.386326923077,3.8,0.6,11.0,2.6
122,3.2_16.5_1.2_2.4_10.0,-13781.627153846153,3.2,1.2,16.5,2.4
123,4.4_17.5_0.8_2.4_10.0,-13707.823192307695,4.4,0.8,17.5,2.4
124,4.6_17.5_1.0_2.4_10.0,-13701.88773076923,4.6,1.0,17.5,2.4
125,4.0_16.0_1.4_2.1_10.0,-13735.399884615383,4.0,1.4,16.0,2.1
126,3.6_13.5_0.7_2.3_10.0,-13682.150980769231,3.6,0.7,13.5,2.3
127,4.2_12.5_0.5_2.3_10.0,-13686.596942307691,4.2,0.5,12.5,2.3
128,4.4_9.5_1.4_2.0_10.0,-13738.584384615384,4.4,1.4,9.5,2.0
129,4.8_15.0_1.1_2.1_10.0,-13673.119384615382,4.8,1.1,15.0,2.1
130,4.6_12.0_1.0_2.4_10.0,-13686.957557692309,4.6,1.0,12.0,2.4
131,3.2_13.0_1.2_2.4_10.0,-13703.492692307693,3.2,1.2,13.0,2.4
132,4.4_12.0_0.8_2.4_10.0,-13678.18732692308,4.4,0.8,12.0,2.4
133,3.8_14.5_0.6_2.6_10.0,-13692.185673076921,3.8,0.6,14.5,2.6
134,4.8_10.5_1.1_2.1_10.0,-13754.666307692309,4.8,1.1,10.5,2.1
135,4.2_17.0_0.5_2.3_10.0,-13727.753307692308,4.2,0.5,17.0,2.3
136,4.0_13.5_1.4_2.1_10.0,-13702.88678846154,4.0,1.4,13.5,2.1
137,3.6_16.0_0.7_2.3_10.0,-13728.241057692307,3.6,0.7,16.0,2.3
