,params,mle,N,p_transition,offset,kappa
9129,3.2_17.5_0.6_2.7_10.0,-13814.88707692308,3.2,0.6,17.5,2.7
9130,3.8_10.0_1.2_2.5_10.0,-13682.777730769229,3.8,1.2,10.0,2.5
9131,3.6_11.0_1.1_1.6_10.0,-13667.426461538462,3.6,1.1,11.0,1.6
9132,4.0_16.0_0.9_2.0_10.0,-13697.471365384616,4.0,0.9,16.0,2.0
9133,3.6_17.0_1.3_2.0_10.0,-13770.619192307691,3.6,1.3,17.0,2.0
9134,3.4_11.0_0.9_1.6_10.0,-13669.632980769231,3.4,0.9,11.0,1.6
9135,4.2_16.0_1.1_2.0_10.0,-13695.12569230769,4.2,1.1,16.0,2.0
9136,3.4_10.0_0.6_2.9_10.0,-13682.614846153845,3.4,0.6,10.0,2.9
9137,3.6_9.5_0.7_2.7_10.0,-13692.932807692305,3.6,0.7,9.5,2.7
9138,4.4_9.5_0.9_2.1_10.0,-13757.394384615385,4.4,0.9,9.5,2.1
9139,4.2_10.0_1.3_1.6_10.0,-13715.421480769226,4.2,1.3,10.0,1.6
9140,4.8_11.5_0.5_2.2_10.0,-13759.436461538462,4.8,0.5,11.5,2.2
9141,3.8_15.5_1.2_2.5_10.0,-13721.491326923076,3.8,1.2,15.5,2.5
9142,3.2_13.0_0.9_1.8_10.0,-13682.666057692308,3.2,0.9,13.0,1.8
9143,3.2_12.0_0.6_2.7_10.0,-13683.001807692312,3.2,0.6,12.0,2.7
9144,4.4_12.0_1.3_1.8_10.0,-13678.609961538461,4.4,1.3,12.0,1.8
9145,4.2_9.0_0.6_1.4_10.0,-13781.318903846155,4.2,0.6,9.0,1.4
9146,3.0_13.0_1.1_1.8_10.0,-13696.355692307696,3.0,1.1,13.0,1.8
9147,4.6_17.0_0.9_2.4_10.0,-13689.90951923077,4.6,0.9,17.0,2.4
9148,3.0_16.0_1.3_2.4_10.0,-13792.557576923076,3.0,1.3,16.0,2.4
9149,4.4_17.0_1.1_2.4_10.0,-13708.982461538459,4.4,1.1,17.0,2.4
9150,4.8_12.5_0.5_2.8_10.0,-13714.80825,4.8,0.5,12.5,2.8
9151,4.8_15.5_0.8_2.1_10.0,-13673.278634615386,4.8,0.8,15.5,2.1
9152,3.4_13.0_0.6_2.3_10.0,-13688.201692307692,3.4,0.6,13.0,2.3
9153,4.4_12.5_1.1_2.4_10.0,-13670.576000000001,4.4,1.1,12.5,2.4
9154,4.6_12.5_0.9_2.4_10.0,-13676.537865384615,4.6,0.9,12.5,2.4
9155,3.0_13.5_1.3_2.4_10.0,-13731.689153846157,3.0,1.3,13.5,2.4
9156,3.4_16.5_0.6_2.3_10.0,-13768.492038461538,3.4,0.6,16.5,2.3
9157,4.8_17.0_0.5_2.8_10.0,-13697.29798076923,4.8,0.5,17.0,2.8
9158,4.0_9.0_1.4_2.0_10.0,-13726.80801923077,4.0,1.4,9.0,2.0
9159,4.8_10.0_0.8_2.1_10.0,-13789.578057692308,4.8,0.8,10.0,2.1
9160,3.8_14.0_1.0_2.1_10.0,-13680.308442307693,3.8,1.0,14.0,2.1
9161,3.0_9.5_0.5_2.9_10.0,-13684.535961538464,3.0,0.5,9.5,2.9
9162,4.6_12.5_0.6_2.3_10.0,-13691.766211538461,4.6,0.6,12.5,2.3
9163,4.2_17.5_1.3_2.4_10.0,-13752.066653846154,4.2,1.3,17.5,2.4
9164,3.4_16.5_0.9_2.4_10.0,-13752.82169230769,3.4,0.9,16.5,2.4
9165,3.6_16.5_1.1_2.4_10.0,-13747.658326923072,3.6,1.1,16.5,2.4
9166,4.8_10.0_0.7_2.6_10.0,-13793.325076923076,4.8,0.7,10.0,2.6
9167,4.6_17.0_0.6_2.3_10.0,-13697.391788461538,4.6,0.6,17.0,2.3
9168,3.8_11.5_1.0_2.1_10.0,-13664.93642307692,3.8,1.0,11.5,2.1
9169,4.8_15.5_0.7_2.6_10.0,-13676.4545,4.8,0.7,15.5,2.6
9170,3.6_13.0_1.1_2.4_10.0,-13683.951211538464,3.6,1.1,13.0,2.4
9171,4.2_12.0_1.3_2.4_10.0,-13678.233826923077,4.2,1.3,12.0,2.4
9172,3.4_13.0_0.9_2.4_10.0,-13680.920538461536,3.4,0.9,13.0,2.4
9173,4.8_10.5_0.9_2.2_10.0,-13761.684576923077,4.8,0.9,10.5,2.2
9174,3.6_11.0_1.2_2.9_10.0,-13678.622807692307,3.6,1.2,11.0,2.9
9175,4.0_17.0_0.5_2.0_10.0,-13746.439903846154,4.0,0.5,17.0,2.0
9176,4.0_11.0_0.7_1.6_10.0,-13688.708403846154,4.0,0.7,11.0,1.6
9177,4.0_10.0_0.8_2.9_10.0,-13706.163346153848,4.0,0.8,10.0,2.9
9178,4.2_13.5_1.4_2.2_10.0,-13696.435423076922,4.2,1.4,13.5,2.2
9179,3.4_16.0_0.7_2.0_10.0,-13745.179192307694,3.4,0.7,16.0,2.0
9180,4.2_10.0_1.0_2.9_10.0,-13721.615326923076,4.2,1.0,10.0,2.9
9181,4.4_12.0_1.0_2.7_10.0,-13674.24775,4.4,1.0,12.0,2.7
9182,3.0_13.0_1.2_2.7_10.0,-13718.594057692306,3.0,1.2,13.0,2.7
9183,4.6_13.0_0.7_1.8_10.0,-13682.431173076922,4.6,0.7,13.0,1.8
9184,4.6_12.0_0.8_2.7_10.0,-13693.630519230766,4.6,0.8,12.0,2.7
9185,4.2_16.0_1.4_2.2_10.0,-13726.60640384615,4.2,1.4,16.0,2.2
9186,4.2_15.5_1.0_2.9_10.0,-13696.90021153846,4.2,1.0,15.5,2.9
9187,3.4_13.5_0.7_2.0_10.0,-13687.453750000002,3.4,0.7,13.5,2.0
9188,4.0_12.5_0.5_2.0_10.0,-13688.066442307692,4.0,0.5,12.5,2.0
9189,3.6_14.5_1.2_2.9_10.0,-13723.218230769231,3.6,1.2,14.5,2.9
9190,4.0_15.5_0.8_2.9_10.0,-13695.827557692306,4.0,0.8,15.5,2.9
9191,4.0_14.5_0.7_1.6_10.0,-13685.627615384612,4.0,0.7,14.5,1.6
9192,4.8_15.0_0.9_2.2_10.0,-13667.472615384617,4.8,0.9,15.0,2.2
9193,3.0_16.5_1.2_2.7_10.0,-13802.502903846153,3.0,1.2,16.5,2.7
9194,4.6_17.5_0.8_2.7_10.0,-13700.024749999999,4.6,0.8,17.5,2.7
9195,4.4_17.5_1.0_2.7_10.0,-13716.889788461538,4.4,1.0,17.5,2.7
9196,3.6_13.5_1.0_2.7_10.0,-13687.878999999997,3.6,1.0,13.5,2.7
9197,3.4_13.5_0.8_2.7_10.0,-13687.169903846154,3.4,0.8,13.5,2.7
9198,3.4_12.5_0.7_1.8_10.0,-13680.575499999999,3.4,0.7,12.5,1.8
9199,4.2_12.5_1.2_2.7_10.0,-13676.831769230768,4.2,1.2,12.5,2.7
9200,4.8_15.0_0.6_2.5_10.0,-13676.44975,4.8,0.6,15.0,2.5
9201,3.8_11.0_1.1_2.2_10.0,-13672.139596153847,3.8,1.1,11.0,2.2
9202,3.2_11.5_0.8_2.9_10.0,-13677.225730769229,3.2,0.8,11.5,2.9
9203,3.2_10.5_0.7_1.6_10.0,-13677.318307692309,3.2,0.7,10.5,1.6
9204,3.2_16.5_0.5_2.0_10.0,-13802.174423076922,3.2,0.5,16.5,2.0
9205,4.4_10.5_1.2_2.9_10.0,-13718.739192307694,4.4,1.2,10.5,2.9
9206,3.0_11.5_1.0_2.9_10.0,-13685.814269230768,3.0,1.0,11.5,2.9
9207,4.6_17.5_0.7_2.0_10.0,-13700.66082692308,4.6,0.7,17.5,2.0
9208,3.0_12.0_1.4_2.2_10.0,-13714.408653846154,3.0,1.4,12.0,2.2
9209,3.2_9.5_1.4_2.2_10.0,-13684.272653846154,3.2,1.4,9.5,2.2
9210,4.8_10.5_0.6_2.5_10.0,-13776.990057692308,4.8,0.6,10.5,2.5
9211,3.4_16.0_0.8_2.7_10.0,-13742.529673076922,3.4,0.8,16.0,2.7
9212,4.2_17.0_1.2_2.7_10.0,-13735.28517307692,4.2,1.2,17.0,2.7
9213,3.6_16.0_1.0_2.7_10.0,-13733.183923076922,3.6,1.0,16.0,2.7
9214,4.6_12.0_0.7_2.0_10.0,-13702.90698076923,4.6,0.7,12.0,2.0
9215,3.0_14.0_1.0_2.9_10.0,-13727.074288461541,3.0,1.0,14.0,2.9
9216,3.0_17.5_1.4_2.2_10.0,-13838.772096153847,3.0,1.4,17.5,2.2
9217,3.2_15.0_0.7_1.6_10.0,-13735.352653846154,3.2,0.7,15.0,1.6
9218,3.2_14.0_0.8_2.9_10.0,-13705.966057692307,3.2,0.8,14.0,2.9
9219,4.4_15.0_1.2_2.9_10.0,-13702.325692307691,4.4,1.2,15.0,2.9
9220,3.2_13.0_0.5_2.0_10.0,-13703.355961538462,3.2,0.5,13.0,2.0
9221,3.8_12.5_1.3_1.4_10.0,-13685.678192307694,3.8,1.3,12.5,1.4
9222,3.8_14.5_1.1_2.2_10.0,-13692.606961538462,3.8,1.1,14.5,2.2
9223,3.2_9.5_0.6_2.8_10.0,-13682.329192307694,3.2,0.6,9.5,2.8
9224,4.8_13.0_1.0_2.4_10.0,-13676.327423076924,4.8,1.0,13.0,2.4
9225,3.6_15.5_0.6_2.6_10.0,-13720.60344230769,3.6,0.6,15.5,2.6
9226,4.4_11.5_0.9_2.1_10.0,-13689.480961538462,4.4,0.9,11.5,2.1
9227,3.2_10.5_1.3_2.1_10.0,-13681.474230769232,3.2,1.3,10.5,2.1
9228,4.6_11.5_1.1_2.1_10.0,-13702.294249999997,4.6,1.1,11.5,2.1
9229,3.0_17.5_0.6_2.8_10.0,-13830.431076923078,3.0,0.6,17.5,2.8
9230,3.8_17.0_0.7_2.3_10.0,-13742.395807692308,3.8,0.7,17.0,2.3
9231,3.6_10.0_0.6_2.6_10.0,-13687.921730769229,3.6,0.6,10.0,2.6
9232,4.8_16.5_1.0_2.4_10.0,-13682.857769230768,4.8,1.0,16.5,2.4
9233,3.8_12.5_0.7_2.3_10.0,-13673.509076923076,3.8,0.7,12.5,2.3
9234,3.0_12.0_0.6_2.8_10.0,-13687.710346153846,3.0,0.6,12.0,2.8
9235,4.6_14.0_1.1_2.1_10.0,-13669.294884615385,4.6,1.1,14.0,2.1
9236,4.4_14.0_0.9_2.1_10.0,-13668.34625,4.4,0.9,14.0,2.1
9237,3.2_15.0_1.3_2.1_10.0,-13749.277673076922,3.2,1.3,15.0,2.1
9238,4.0_11.0_1.3_2.1_10.0,-13676.488211538464,4.0,1.3,11.0,2.1
9239,3.6_10.0_0.9_2.1_10.0,-13673.803596153846,3.6,0.9,10.0,2.1
9240,4.2_16.0_0.6_2.8_10.0,-13698.871826923076,4.2,0.6,16.0,2.8
9241,3.4_10.0_1.1_2.1_10.0,-13670.42276923077,3.4,1.1,10.0,2.1
9242,3.8_12.5_0.8_2.4_10.0,-13670.768480769231,3.8,0.8,12.5,2.4
9243,4.4_14.0_0.6_2.6_10.0,-13677.086788461542,4.4,0.6,14.0,2.6
9244,4.0_9.5_0.7_2.9_10.0,-13733.700365384615,4.0,0.7,9.5,2.9
9245,3.4_15.5_1.1_2.1_10.0,-13730.4105,3.4,1.1,15.5,2.1
9246,4.2_13.5_0.6_2.8_10.0,-13677.751461538464,4.2,0.6,13.5,2.8
9247,4.0_14.5_1.3_2.1_10.0,-13700.332557692309,4.0,1.3,14.5,2.1
9248,3.6_15.5_0.9_2.1_10.0,-13708.77165384615,3.6,0.9,15.5,2.1
9249,4.4_11.5_0.6_2.6_10.0,-13704.151365384618,4.4,0.6,11.5,2.6
9250,3.8_17.0_0.8_2.4_10.0,-13738.276403846152,3.8,0.8,17.0,2.4
9251,4.6_17.0_1.4_2.9_10.0,-13746.343076923078,4.6,1.4,17.0,2.9
9252,4.6_12.5_1.2_1.4_10.0,-13679.618442307692,4.6,1.2,12.5,1.4
9253,4.6_14.5_1.0_2.2_10.0,-13669.041903846151,4.6,1.0,14.5,2.2
9254,3.0_13.5_0.8_1.4_10.0,-13705.609038461536,3.0,0.8,13.5,1.4
9255,3.2_15.5_1.2_2.2_10.0,-13753.387980769232,3.2,1.2,15.5,2.2
9256,4.4_14.5_0.8_2.2_10.0,-13673.462442307693,4.4,0.8,14.5,2.2
9257,3.2_13.5_1.0_1.4_10.0,-13694.171307692308,3.2,1.0,13.5,1.4
9258,3.8_12.0_0.6_2.0_10.0,-13680.168365384616,3.8,0.6,12.0,2.0
9259,4.8_16.0_1.1_2.7_10.0,-13691.974615384617,4.8,1.1,16.0,2.7
9260,4.2_11.5_0.5_2.5_10.0,-13697.322557692307,4.2,0.5,11.5,2.5
9261,4.0_15.0_1.4_2.7_10.0,-13733.339192307692,4.0,1.4,15.0,2.7
9262,3.6_10.5_0.7_2.5_10.0,-13678.07996153846,3.6,0.7,10.5,2.5
9263,3.8_17.5_0.6_2.0_10.0,-13768.758442307695,3.8,0.6,17.5,2.0
9264,4.6_9.5_0.6_1.8_10.0,-13804.759826923077,4.6,0.6,9.5,1.8
9265,3.2_10.0_1.2_2.2_10.0,-13674.22053846154,3.2,1.2,10.0,2.2
9266,3.2_16.0_1.0_1.4_10.0,-13755.42221153846,3.2,1.0,16.0,1.4
9267,4.4_11.0_0.8_2.2_10.0,-13711.850230769229,4.4,0.8,11.0,2.2
9268,4.6_12.5_1.4_2.9_10.0,-13690.839057692305,4.6,1.4,12.5,2.9
9269,3.0_16.0_0.8_1.4_10.0,-13778.40123076923,3.0,0.8,16.0,1.4
9270,4.6_11.0_1.0_2.2_10.0,-13726.522711538464,4.6,1.0,11.0,2.2
9271,4.0_10.5_1.4_2.7_10.0,-13690.86392307692,4.0,1.4,10.5,2.7
9272,3.6_15.0_0.7_2.5_10.0,-13703.569980769233,3.6,0.7,15.0,2.5
9273,4.2_14.0_0.5_2.5_10.0,-13688.94565384615,4.2,0.5,14.0,2.5
9274,4.8_13.5_1.1_2.7_10.0,-13672.060096153846,4.8,1.1,13.5,2.7
9275,3.8_17.5_0.9_2.7_10.0,-13755.00730769231,3.8,0.9,17.5,2.7
9276,3.0_10.0_0.5_2.5_10.0,-13684.32778846154,3.0,0.5,10.0,2.5
9277,4.4_11.0_0.7_2.5_10.0,-13717.33753846154,4.4,0.7,11.0,2.5
9278,3.2_14.5_1.4_2.7_10.0,-13764.174403846151,3.2,1.4,14.5,2.7
9279,4.2_12.0_0.8_1.4_10.0,-13682.622653846156,4.2,0.8,12.0,1.4
9280,3.4_15.0_1.0_2.2_10.0,-13713.250461538464,3.4,1.0,15.0,2.2
9281,3.4_13.0_1.2_1.4_10.0,-13690.33234615385,3.4,1.2,13.0,1.4
9282,3.4_16.5_1.4_2.9_10.0,-13808.805307692308,3.4,1.4,16.5,2.9
9283,4.0_12.0_1.0_1.4_10.0,-13669.069384615384,4.0,1.0,12.0,1.4
9284,3.6_15.0_0.8_2.2_10.0,-13699.374115384617,3.6,0.8,15.0,2.2
9285,4.0_14.0_1.2_2.2_10.0,-13687.738865384616,4.0,1.2,14.0,2.2
9286,4.8_14.5_1.3_2.9_10.0,-13689.098365384616,4.8,1.3,14.5,2.9
9287,4.4_14.5_0.7_2.5_10.0,-13676.170423076926,4.4,0.7,14.5,2.5
9288,3.2_11.0_1.4_2.7_10.0,-13705.354961538465,3.2,1.4,11.0,2.7
9289,3.0_15.5_0.5_2.5_10.0,-13781.009423076923,3.0,0.5,15.5,2.5
9290,3.8_12.0_0.9_2.7_10.0,-13669.645423076921,3.8,0.9,12.0,2.7
9291,3.8_13.0_0.6_1.8_10.0,-13686.946211538461,3.8,0.6,13.0,1.8
9292,4.8_11.0_1.3_2.9_10.0,-13729.71132692308,4.8,1.3,11.0,2.9
9293,3.6_10.5_0.8_2.2_10.0,-13674.448153846153,3.6,0.8,10.5,2.2
9294,4.0_11.5_1.2_2.2_10.0,-13674.320865384616,4.0,1.2,11.5,2.2
9295,3.4_10.5_1.0_2.2_10.0,-13667.847596153848,3.4,1.0,10.5,2.2
9296,3.4_13.0_1.4_2.9_10.0,-13730.886230769229,3.4,1.4,13.0,2.9
9297,4.4_12.0_0.9_1.8_10.0,-13676.847211538461,4.4,0.9,12.0,1.8
9298,4.4_13.0_0.6_2.7_10.0,-13678.323538461542,4.4,0.6,13.0,2.7
9299,3.2_13.0_1.3_1.8_10.0,-13704.71271153846,3.2,1.3,13.0,1.8
9300,4.6_12.0_1.1_1.8_10.0,-13686.684269230771,4.6,1.1,12.0,1.8
9301,3.8_15.5_0.8_2.5_10.0,-13700.463903846154,3.8,0.8,15.5,2.5
9302,3.6_17.0_0.9_2.0_10.0,-13749.096826923076,3.6,0.9,17.0,2.0
9303,4.0_10.0_1.1_1.6_10.0,-13699.294346153849,4.0,1.1,10.0,1.6
9304,4.0_16.0_1.3_2.0_10.0,-13721.828923076924,4.0,1.3,16.0,2.0
9305,3.4_17.0_1.1_2.0_10.0,-13766.99851923077,3.4,1.1,17.0,2.0
9306,4.2_10.0_0.9_1.6_10.0,-13731.881307692312,4.2,0.9,10.0,1.6
9307,4.4_9.5_1.3_2.1_10.0,-13740.277365384616,4.4,1.3,9.5,2.1
9308,4.2_11.0_0.6_2.9_10.0,-13701.432288461541,4.2,0.6,11.0,2.9
9309,3.4_11.0_1.3_1.6_10.0,-13680.965115384615,3.4,1.3,11.0,1.6
9310,3.8_10.0_0.8_2.5_10.0,-13689.988365384615,3.8,0.8,10.0,2.5
9311,4.4_16.5_0.6_2.7_10.0,-13697.509057692307,4.4,0.6,16.5,2.7
9312,4.8_9.0_1.2_2.1_10.0,-13839.257980769231,4.8,1.2,9.0,2.1
9313,4.2_14.5_0.6_2.9_10.0,-13682.679076923077,4.2,0.6,14.5,2.9
9314,4.2_15.5_0.9_1.6_10.0,-13683.523903846151,4.2,0.9,15.5,1.6
9315,3.4_12.5_1.1_2.0_10.0,-13679.632211538465,3.4,1.1,12.5,2.0
9316,3.4_14.5_1.3_1.6_10.0,-13719.679923076923,3.4,1.3,14.5,1.6
9317,4.0_15.5_1.1_1.6_10.0,-13694.630384615386,4.0,1.1,15.5,1.6
9318,3.6_12.5_0.9_2.0_10.0,-13674.872249999997,3.6,0.9,12.5,2.0
9319,4.0_13.5_1.3_2.0_10.0,-13692.753096153847,4.0,1.3,13.5,2.0
9320,3.8_10.0_0.7_2.2_10.0,-13697.151019230769,3.8,0.7,10.0,2.2
9321,3.2_17.5_1.3_2.0_10.0,-13809.951307692307,3.2,1.3,17.5,2.0
9322,3.2_11.5_1.1_1.6_10.0,-13679.326692307692,3.2,1.1,11.5,1.6
9323,4.4_16.5_0.9_2.0_10.0,-13687.987576923078,4.4,0.9,16.5,2.0
9324,4.6_10.5_1.3_1.6_10.0,-13730.120519230772,4.6,1.3,10.5,1.6
9325,3.0_10.5_0.6_2.9_10.0,-13678.810653846158,3.0,0.6,10.5,2.9
9326,3.0_11.5_0.9_1.6_10.0,-13675.574923076925,3.0,0.9,11.5,1.6
9327,4.6_16.5_1.1_2.0_10.0,-13689.976634615385,4.6,1.1,16.5,2.0
9328,4.0_12.5_1.3_1.8_10.0,-13679.642846153845,4.0,1.3,12.5,1.8
9329,3.6_12.5_0.6_2.7_10.0,-13682.497538461535,3.6,0.6,12.5,2.7
9330,3.6_13.5_0.9_1.8_10.0,-13678.34103846154,3.6,0.9,13.5,1.8
9331,3.4_13.5_1.1_1.8_10.0,-13689.377211538464,3.4,1.1,13.5,1.8
9332,4.8_14.0_1.0_2.5_10.0,-13669.080788461539,4.8,1.0,14.0,2.5
9333,4.0_9.5_0.5_2.6_10.0,-13748.615615384615,4.0,0.5,9.5,2.6
9334,4.6_15.0_1.3_1.6_10.0,-13689.273846153847,4.6,1.3,15.0,1.6
9335,4.6_13.0_1.1_2.0_10.0,-13669.091423076923,4.6,1.1,13.0,2.0
9336,3.0_14.0_0.9_1.6_10.0,-13712.102692307692,3.0,0.9,14.0,1.6
9337,3.0_15.0_0.6_2.9_10.0,-13754.425923076924,3.0,0.6,15.0,2.9
9338,3.2_12.0_1.3_2.0_10.0,-13694.47680769231,3.2,1.3,12.0,2.0
9339,4.4_13.0_0.9_2.0_10.0,-13667.764653846154,4.4,0.9,13.0,2.0
9340,3.2_14.0_1.1_1.6_10.0,-13703.750000000002,3.2,1.1,14.0,1.6
9341,3.8_15.5_0.7_2.2_10.0,-13702.478673076925,3.8,0.7,15.5,2.2
9342,4.8_11.5_1.0_2.5_10.0,-13726.708576923074,4.8,1.0,11.5,2.5
9343,3.6_9.5_1.2_2.0_10.0,-13682.116903846152,3.6,1.2,9.5,2.0
9344,3.4_16.0_1.1_1.8_10.0,-13741.068692307696,3.4,1.1,16.0,1.8
9345,3.6_16.0_0.9_1.8_10.0,-13721.50182692308,3.6,0.9,16.0,1.8
9346,3.6_17.0_0.6_2.7_10.0,-13766.637749999998,3.6,0.6,17.0,2.7
9347,3.2_9.0_0.5_2.4_10.0,-13696.810596153846,3.2,0.5,9.0,2.4
9348,4.8_13.5_1.3_2.8_10.0,-13682.457596153845,4.8,1.3,13.5,2.8
9349,3.4_11.5_1.4_2.8_10.0,-13708.14225,3.4,1.4,11.5,2.8
9350,3.4_12.0_1.0_2.3_10.0,-13677.452076923075,3.4,1.0,12.0,2.3
9351,4.0_13.0_1.2_2.3_10.0,-13681.56221153846,4.0,1.2,13.0,2.3
9352,3.6_12.0_0.8_2.3_10.0,-13671.354615384615,3.6,0.8,12.0,2.3
9353,3.0_17.0_0.5_2.4_10.0,-13832.49734615385,3.0,0.5,17.0,2.4
9354,3.2_13.5_1.4_2.6_10.0,-13739.429884615383,3.2,1.4,13.5,2.6
9355,4.8_9.5_1.3_2.2_10.0,-13793.411961538464,4.8,1.3,9.5,2.2
9356,4.4_16.0_0.7_2.4_10.0,-13686.47571153846,4.4,0.7,16.0,2.4
9357,3.8_10.5_0.9_2.6_10.0,-13673.924903846153,3.8,0.9,10.5,2.6
9358,4.0_16.5_1.2_2.3_10.0,-13727.364673076925,4.0,1.2,16.5,2.3
9359,3.6_17.5_0.8_2.3_10.0,-13766.222076923073,3.6,0.8,17.5,2.3
9360,3.4_14.0_1.4_2.8_10.0,-13744.909865384618,3.4,1.4,14.0,2.8
9361,3.4_17.5_1.0_2.3_10.0,-13778.842807692308,3.4,1.0,17.5,2.3
9362,4.4_9.0_1.2_2.2_10.0,-13766.386826923077,4.4,1.2,9.0,2.2
9363,4.8_16.0_1.3_2.8_10.0,-13711.670653846153,4.8,1.3,16.0,2.8
9364,3.8_15.0_0.9_2.6_10.0,-13694.736346153846,3.8,0.9,15.0,2.6
9365,3.2_16.0_1.4_2.6_10.0,-13798.749173076922,3.2,1.4,16.0,2.6
9366,4.4_13.5_0.7_2.4_10.0,-13671.762076923078,4.4,0.7,13.5,2.4
9367,3.0_12.5_0.5_2.4_10.0,-13700.595961538464,3.0,0.5,12.5,2.4
9368,3.6_9.0_1.3_2.3_10.0,-13693.961365384614,3.6,1.3,9.0,2.3
9369,4.2_16.5_0.5_2.4_10.0,-13715.735596153845,4.2,0.5,16.5,2.4
9370,3.6_17.5_0.7_2.4_10.0,-13772.451057692311,3.6,0.7,17.5,2.4
9371,4.0_12.0_1.4_2.6_10.0,-13687.778019230773,4.0,1.4,12.0,2.6
9372,4.8_11.0_1.1_2.6_10.0,-13737.87146153846,4.8,1.1,11.0,2.6
9373,3.8_15.0_0.6_2.1_10.0,-13700.28853846154,3.8,0.6,15.0,2.1
9374,4.6_13.5_1.0_2.3_10.0,-13668.20871153846,4.6,1.0,13.5,2.3
9375,4.6_10.0_1.4_2.8_10.0,-13738.877442307692,4.6,1.4,10.0,2.8
9376,4.4_13.5_0.8_2.3_10.0,-13668.418115384617,4.4,0.8,13.5,2.3
9377,3.2_12.5_1.2_2.3_10.0,-13696.765250000004,3.2,1.2,12.5,2.3
9378,4.8_14.5_1.1_2.6_10.0,-13672.935903846153,4.8,1.1,14.5,2.6
9379,3.6_12.0_0.7_2.4_10.0,-13673.990057692306,3.6,0.7,12.0,2.4
9380,4.0_17.5_1.4_2.6_10.0,-13784.120249999998,4.0,1.4,17.5,2.6
9381,4.2_13.0_0.5_2.4_10.0,-13684.762807692307,4.2,0.5,13.0,2.4
9382,4.4_16.0_0.8_2.3_10.0,-13684.079673076925,4.4,0.8,16.0,2.3
9383,3.2_17.0_1.2_2.3_10.0,-13791.671903846154,3.2,1.2,17.0,2.3
9384,4.6_16.0_1.0_2.3_10.0,-13681.791788461538,4.6,1.0,16.0,2.3
9385,4.6_15.5_1.4_2.8_10.0,-13723.502653846155,4.6,1.4,15.5,2.8
9386,3.8_10.5_0.6_2.1_10.0,-13690.562346153843,3.8,0.6,10.5,2.1
9387,4.8_17.0_0.7_2.7_10.0,-13687.427846153847,4.8,0.7,17.0,2.7
9388,4.8_16.0_0.8_1.8_10.0,-13678.587846153849,4.8,0.8,16.0,1.8
9389,3.8_9.0_1.0_2.1_10.0,-13717.950076923078,3.8,1.0,9.0,2.1
9390,3.4_11.5_0.9_2.5_10.0,-13671.489230769232,3.4,0.9,11.5,2.5
9391,3.6_9.0_0.7_1.4_10.0,-13721.435634615382,3.6,0.7,9.0,1.4
9392,4.2_10.5_1.3_2.5_10.0,-13696.746057692306,4.2,1.3,10.5,2.5
9393,3.6_11.5_1.1_2.5_10.0,-13674.271115384614,3.6,1.1,11.5,2.5
9394,4.6_15.5_0.6_2.2_10.0,-13684.998615384618,4.6,0.6,15.5,2.2
9395,3.0_9.5_0.8_2.1_10.0,-13670.349115384617,3.0,0.8,9.5,2.1
9396,4.2_9.5_0.6_2.7_10.0,-13762.316115384614,4.2,0.6,9.5,2.7
9397,3.2_12.5_0.6_1.4_10.0,-13697.171038461536,3.2,0.6,12.5,1.4
9398,3.8_15.0_1.2_1.6_10.0,-13701.474711538463,3.8,1.2,15.0,1.6
9399,3.8_13.0_1.0_2.0_10.0,-13676.266730769234,3.8,1.0,13.0,2.0
9400,3.6_14.0_1.1_2.5_10.0,-13697.128865384615,3.6,1.1,14.0,2.5
9401,3.4_14.0_0.9_2.5_10.0,-13693.975980769228,3.4,0.9,14.0,2.5
9402,4.2_15.0_1.3_2.5_10.0,-13708.077980769232,4.2,1.3,15.0,2.5
9403,4.8_13.5_0.8_1.8_10.0,-13675.889807692305,4.8,0.8,13.5,1.8
9404,4.8_12.5_0.7_2.7_10.0,-13700.298153846157,4.8,0.7,12.5,2.7
9405,3.8_10.5_1.2_1.6_10.0,-13674.37909615385,3.8,1.2,10.5,1.6
9406,3.8_16.5_1.0_2.0_10.0,-13722.258019230772,3.8,1.0,16.5,2.0
9407,3.4_9.5_1.1_2.1_10.0,-13672.351403846154,3.4,1.1,9.5,2.1
9408,4.6_10.0_0.6_2.2_10.0,-13778.911980769235,4.6,0.6,10.0,2.2
9409,3.4_14.0_0.6_2.2_10.0,-13700.608557692309,3.4,0.6,14.0,2.2
9410,4.0_13.0_0.6_1.4_10.0,-13688.467749999998,4.0,0.6,13.0,1.4
9411,4.8_12.5_0.8_2.0_10.0,-13697.838576923074,4.8,0.8,12.5,2.0
9412,4.8_15.5_0.5_2.9_10.0,-13686.068000000001,4.8,0.5,15.5,2.9
9413,4.6_9.5_1.0_2.0_10.0,-13777.66607692308,4.6,1.0,9.5,2.0
9414,3.0_11.0_1.3_2.5_10.0,-13699.887538461537,3.0,1.3,11.0,2.5
9415,4.6_10.0_0.9_2.5_10.0,-13759.196211538463,4.6,0.9,10.0,2.5
9416,4.4_10.0_1.1_2.5_10.0,-13729.979634615385,4.4,1.1,10.0,2.5
9417,4.8_17.0_0.8_2.0_10.0,-13683.12326923077,4.8,0.8,17.0,2.0
9418,4.8_10.0_0.5_2.9_10.0,-13803.871692307692,4.8,0.5,10.0,2.9
9419,3.4_11.5_0.6_2.2_10.0,-13680.391653846153,3.4,0.6,11.5,2.2
